dataset	papers	kind	qtl_types	types_mentioned_by_citing_papers	earliest_paper_year	earliest_paper	earliest_doi	earliest_pmid	dataset_url	dataset_url_route	dataset_url_status	url_attributed_from	access_routes_seen	contexts_seen	url_evidence	catalogue_study	catalogue_datasets	catalogue_donor_range	study_pmid	study_donors	study_donors_evidence	url_dataset_id	url_dataset_context	url_dataset_donors
Pan Z 2026	1	unregistered dataset	eQTL	eQTL	2026	Cross-Tissue Transcriptome-Wide Association Study and TWAS-FOCUS Fine-Mapping Reveal Novel Susceptibility Genes for Primary Open-Angle Glaucoma.	10.1167/tvst.15.4.13	41983772	https://www.ebi.ac.uk/gwas/publications/33627673	portal	ok	3202	portal:1	skeletal muscle;muscle;breast	this paper's own deposit, confirmed by HEAD									
Meeks KAC 2026	1	unregistered dataset	meQTL	meQTL	2026	Causal relationship between epigenetic markers and type 2 diabetes in West African populations: a Mendelian randomisation analysis.	10.1007/s00125-026-06716-3	42032377	https://github.com/NHGRI/CRGGH/tree/meeks_MR_DNAm_T2D	portal	ok	3303	portal:1	blood;skeletal muscle;muscle;adipose	this paper's own deposit, confirmed by HEAD									
Jia C 2026	1	unregistered dataset	pQTL	pQTL	2026	Causal Relationship Between Blood Proteome and Retinitis Pigmentosa: A Mendelian Randomization Study.	10.1167/tvst.15.6.17	42283552	https://github.com/Likeeejd/MR_code	portal	ok	3311	portal:1	blood;plasma	this paper's own deposit, confirmed by HEAD									
Ramírez-Sánchez AD 2025	1	unregistered dataset	eQTL	eQTL	2025	Transcriptomics and eQTLs reveal inflammatory heterogeneity in the duodenal lining in coeliac disease.	10.1038/s41435-025-00356-0	40925920	https://github.com/umcg-immunogenetics/CeD_EpithelialLining_RNAseq_Ramirez-Sanchez_2024	portal	ok	3777	portal:1	intestine;epithelial	this paper's own deposit, confirmed by HEAD									
Yang M 2025	1	unregistered dataset	pQTL	pQTL	2025	The immune-related plasma protein LAT2 as a protective modulator in diabetic retinopathy: a Mendelian randomization study.	10.3389/fendo.2025.1638661	40747309	https://r12.finngen.fi/	portal	ok	3837	portal:1	retina;T cell;B cell;plasma	this paper's own deposit, confirmed by HEAD									
Liefferinckx C 2025	1	unregistered dataset	eQTL	eQTL	2025	The identification of blood-derived response eQTLs reveals complex effects of regulatory variants on inflammatory and infectious disease risk.	10.1371/journal.pgen.1011599	40208878	https://www.birdgroup.be/en	portal	ok	3838	portal:1	whole blood;blood	this paper's own deposit, confirmed by HEAD									
Berthold N 2025	1	unregistered dataset	eQTL	eQTL	2025	The Eating Disorders Genetics Initiative 2 (EDGI2): study protocol.	10.1186/s12888-025-06777-5	40419993	https://nda.nih.gov/	portal	ok	3908	portal:1	blood;saliva	this paper's own deposit, confirmed by HEAD									
Song X 2025	1	unregistered dataset	eQTL	eQTL	2025	Systematically identification of survival-associated eQTLs in a Japanese kidney cancer cohort.	10.1371/journal.pgen.1011770	40622919	https://doi.org/10.5281/zenodo.15333222	supplement	ok	3936	supplement:1	kidney;cancer	this paper's own deposit, confirmed by HEAD									
Hecker J 2025	1	unregistered dataset	sQTL	sQTL	2025	Serum microRNA expression quantitative trait loci in children with asthma colocalize with asthma-related GWAS results.	10.1038/s41525-025-00510-7	40676019	https://zenodo.org/records/2560974	supplement	ok	4042	supplement:1	blood;serum	this paper's own deposit, confirmed by HEAD									
Hernangomez-Laderas A 2025	1	unregistered dataset	eQTL	eQTL	2025	Saliva as a potential diagnostic medium: DNA methylation biomarkers for disorders beyond the oral cavity.	10.1038/s41525-025-00509-0	40541940	https://irlab.shinyapps.io/salivaQTL/	portal	ok	4059	portal:1	prostate;artery;cancer;saliva	this paper's own deposit, confirmed by HEAD									
Zhang K 2025	1	unregistered dataset	pQTL	pQTL	2025	Proteome-Wide Mendelian Randomization Identifies Therapeutic Targets for Abdominal Aortic Aneurysm.	10.1161/jaha.124.038193	39895541	https://csg.sph.umich.edu/willer/public/AAAgen2023/	portal	ok	4181	portal:1	muscle;macrophage;T cell;plasma	this paper's own deposit, confirmed by HEAD									
Ray NR 2025	1	unregistered dataset	eQTL	eQTL	2025	Local genetic covariance analysis with lipid traits identifies novel loci for early-onset Alzheimer's Disease.	10.1371/journal.pgen.1011631	40096060	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/	portal	ok	4650	portal:1	blood	this paper's own deposit, confirmed by HEAD									
Ma Q 2025	1	unregistered dataset	pQTL	pQTL	2025	Genetic profiling of the circulating proteome in common diseases suggests causal proteins and improves risk prediction.	10.1038/s41467-025-67238-x	41387722	https://pqtl.whu.edu.cn/pqtls	portal	ok	5382	portal:1	plasma	this paper's own deposit, confirmed by HEAD									
Currin KW 2025	1	unregistered dataset	caQTL;eQTL	caQTL;eQTL	2025	Genetic effects on chromatin accessibility uncover mechanisms of liver gene regulation and quantitative traits.	10.1101/gr.279741.124	40393811	https://zenodo.org/records/15025748	supplement	ok	5416	supplement:1	liver	this paper's own deposit, confirmed by HEAD									
Fujii W 2025	1	unregistered dataset	eQTL	eQTL	2025	Gene-environment interaction modifies the association between hyperinsulinemia and serum urate levels through SLC22A12.	10.1172/jci186633	40100301	https://kp4cd.org/node/179	portal	ok	5533	portal:1	serum;stimulated;activated	this paper's own deposit, confirmed by HEAD									
Li B 2025	1	unregistered dataset	pQTL	pQTL	2025	GEO combined with quantitative protein trait loci identify causative proteins in hypertrophic cardiomyopathy.	10.1002/ehf2.15287	40348582	https://r10.risteys.finngen.fi/	portal	ok	5560	portal:1	heart;plasma	this paper's own deposit, confirmed by HEAD									
Haglund A 2025	1	unregistered dataset	eQTL	eQTL	2025	Cell state-dependent allelic effects and contextual Mendelian randomization analysis for human brain phenotypes.	10.1038/s41588-024-02050-9	39794547	https://zenodo.org/records/13343729	supplement	ok	6039	supplement:1	brain	this paper's own deposit, confirmed by HEAD									
Chia R 2025	1	unregistered dataset	pQTL	pQTL	2025	A plasma proteomics-based candidate biomarker panel predictive of amyotrophic lateral sclerosis.	10.1038/s41591-025-03890-6	40830661	https://zenodo.org/records/14213102	supplement	ok	6327	supplement:1	skeletal muscle;muscle;nerve;plasma	this paper's own deposit, confirmed by HEAD									
Wang L 2024	1	unregistered dataset	eQTL	eQTL	2024	Trans-eQTL mapping in gene sets identifies network effects of genetic variants.	10.1016/j.xgen.2024.100538	38565144	https://doi.org/10.5281/zenodo.10602699	supplement	ok	6583	supplement:1	whole blood;blood	this paper's own deposit, confirmed by HEAD									
Choi J 2024	1	unregistered dataset	eQTL	eQTL	2024	Placental expression quantitative trait loci in an East Asian population.	10.1016/j.xhgg.2024.100276	38310352	https://doi.org/10.5281/zenodo.10115102	supplement	ok	6895	supplement:1	blood;liver;placenta	this paper's own deposit, confirmed by HEAD									
Suhre K 2024	1	unregistered dataset	pQTL	pQTL	2024	Nanoparticle enrichment mass-spectrometry proteomics identifies protein-altering variants for precise pQTL mapping.	10.1038/s41467-024-45233-y	38307861	https://www.ebi.ac.uk/pride/archive/projects/PXD042852	supplement	ok	6988	supplement:1	blood	this paper's own deposit, confirmed by HEAD									
Bhattacharyya S 2024	1	unregistered dataset	eQTL;hQTL	eQTL;hQTL	2024	Identifying genetic variants associated with chromatin looping and genome function.	10.1038/s41467-024-52296-4	39289357	https://doi.org/10.5281/zenodo.13127086	supplement	ok	7265	supplement:1	T cell;CD4	this paper's own deposit, confirmed by HEAD									
Vrijmoeth HD 2024	1	unregistered dataset	eQTL	eQTL	2024	Genome-wide analyses in Lyme borreliosis: identification of a genetic variant associated with disease susceptibility and its immunological implications.	10.1186/s12879-024-09217-z	38515037	https://github.com/CiiM-Bioinformatics-group/LymeProspect_GWAS	portal	ok	7477	portal:1	blood;monocyte	this paper's own deposit, confirmed by HEAD									
Kalnapenkis A 2024	1	unregistered dataset	pQTL	pQTL	2024	Genetic determinants of plasma protein levels in the Estonian population.	10.1038/s41598-024-57966-3	38565889	https://genomics.ut.ee/en/content/estonian-biobank	portal	ok	7546	portal:1	plasma	this paper's own deposit, confirmed by HEAD									
Madsen AL 2024	1	unregistered dataset	sQTL;eQTL	sQTL;eQTL	2024	Genetic architecture of oral glucose-stimulated insulin release provides biological insights into type 2 diabetes aetiology.	10.1038/s42255-024-01140-6	39420167	https://zenodo.org/records/6546807	supplement	ok	7557	supplement:1	pancreatic islet;islet;stimulated	this paper's own deposit, confirmed by HEAD									
Goldmann K 2024	1	unregistered dataset	eQTL	eQTL	2024	Expression quantitative trait loci analysis in rheumatoid arthritis identifies tissue specific variants associated with severity and outcome.	10.1136/ard-2023-224540	37979960	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-6141	supplement	ok	7655	supplement:1	blood;synovium	this paper's own deposit, confirmed by HEAD									
Ban M 2024	1	unregistered dataset	eQTL	eQTL	2024	Expression profiling of cerebrospinal fluid identifies dysregulated antiviral mechanisms in multiple sclerosis.	10.1093/brain/awad404	38038362	https://github.com/single-cell-genetics/limix_qtl	portal	ok	7656	portal:1	T cell;CD8	this paper's own deposit, confirmed by HEAD									
Chen Y 2024	1	unregistered dataset	eQTL	eQTL	2024	Cross-ancestry analysis of brain QTLs enhances interpretation of schizophrenia genome-wide association studies.	10.1016/j.ajhg.2024.09.001	39362218	https://bigd.big.ac.cn/gsa-human	portal	ok	7821	portal:1	brain	this paper's own deposit, confirmed by HEAD									
Liu C 2024	1	unregistered dataset	pQTL	pQTL	2024	Association between lipid-lowering agents with intervertebral disc degeneration, sciatica and low back pain: a drug-targeted mendelian randomized study and cros	10.1186/s12944-024-02311-w	39358768	https://www.finngen.fi	portal	ok	7946	portal:1	heart;macrophage	this paper's own deposit, confirmed by HEAD									
Cheng S 2024	1	unregistered dataset	eQTL	eQTL	2024	Analysis of sex-biased gene expression in a Eurasian admixed population.	10.1093/bib/bbae451	39293802	https://ngdc.cncb.ac.cn/omix/	portal	ok	7973	portal:1	differentiation	this paper's own deposit, confirmed by HEAD									
Mustafa R 2024	1	unregistered dataset	eQTL	eQTL	2024	A comprehensive study of genetic regulation and disease associations of plasma circulatory microRNAs using population-level data.	10.1186/s13059-024-03420-6	39434104	https://zenodo.org/record/13869398	supplement	ok	8088	supplement:1	colon;plasma	this paper's own deposit, confirmed by HEAD									
Wang J 2023	1	unregistered dataset	caQTL;eQTL	caQTL;eQTL	2023	Single-cell multiomics of the human retina reveals hierarchical transcription factor collaboration in mediating cell type-specific effects of genetic variants o	10.1186/s13059-023-03111-8	38012720	https://github.com/fe4960/single_cell_QTL	portal	ok	8293	portal:1	retina;T cell	this paper's own deposit, confirmed by HEAD									
Wingo AP 2023	1	unregistered dataset	pQTL	pQTL	2023	Sex differences in brain protein expression and disease.	10.1038/s41591-023-02509-y	37653343	https://adknowledgeportal.synapse.org/Explore/Programs/DetailsPage?Program=AMP-AD	supplement	ok	8308	supplement:1	brain	this paper's own deposit, confirmed by HEAD									
Jin H 2023	1	unregistered dataset	eQTL	eQTL	2023	Identification of genetic variants associated with diabetic kidney disease in multiple Korean cohorts via a genome-wide association study mega-analysis.	10.1186/s12916-022-02723-4	36627639	http://nih.go.kr/biobank/cmm/main/mainPage.do?/	portal	ok	8671	portal:1	whole blood;blood;kidney;adipose	this paper's own deposit, confirmed by HEAD									
Li W 2023	1	unregistered dataset	eQTL	eQTL	2023	Genome-wide association study of antisocial personality disorder diagnostic criteria provides evidence for shared risk factors across disorders.	10.1097/ypg.0000000000000352	37756443	http://atlas.ctglab.nl	portal	ok	8770	portal:1	brain	this paper's own deposit, confirmed by HEAD									
Avalos D 2023	1	unregistered dataset	eQTL	eQTL	2023	Genetic variation in cis-regulatory domains suggests cell type-specific regulatory mechanisms in immunity.	10.1038/s42003-023-04688-3	36977773	https://zenodo.org/record/7660407	supplement	ok	8816	supplement:1	whole blood;blood	this paper's own deposit, confirmed by HEAD									
Solé-Navais P 2023	1	unregistered dataset	pQTL;eQTL	pQTL;eQTL	2023	Genetic effects on the timing of parturition and links to fetal birth weight.	10.1038/s41588-023-01343-9	37012456	http://www.geenivaramu.ee/tools/misc_sumstats.zip	direct	ok	8841	direct:1	liver	this paper's own deposit, confirmed by HEAD									
Spisak S 2023	1	unregistered dataset	eQTL	eQTL	2023	A biallelic multiple nucleotide length polymorphism explains functional causality at 5p15.33 prostate cancer risk locus.	10.1038/s41467-023-40616-z	37612286	https://depmap.org/portal/	portal	ok	9196	portal:1	prostate;cancer	this paper's own deposit, confirmed by HEAD									
Bourgonje AR 2022	1	unregistered dataset	pQTL	pQTL	2022	The Effect of Phenotype and Genotype on the Plasma Proteome in Patients with Inflammatory Bowel Disease.	10.1093/ecco-jcc/jjab157	34491321	https://github.com/WeersmaLabIBD/Proteomics_project	portal	ok	9337	portal:1	fibroblast;plasma	this paper's own deposit, confirmed by HEAD									
Zeng B 2022	1	unregistered dataset	eQTL	eQTL	2022	Multi-ancestry eQTL meta-analysis of human brain identifies candidate causal variants for brain-related traits.	10.1038/s41588-021-00987-9	35058635	https://doi.org/10.5281/zenodo.5560014	supplement	ok	9535	supplement:1	brain	this paper's own deposit, confirmed by HEAD									
Kubota N 2022	1	unregistered dataset	eQTL	eQTL	2022	Mapping of promoter usage QTL using RNA-seq data reveals their contributions to complex traits.	10.1371/journal.pcbi.1010436	36037215	https://github.com/NaotoKubota/Kubota_puQTL	portal	ok	9570	portal:1	lymphoblastoid;cell line	this paper's own deposit, confirmed by HEAD									
Gadd DA 2022	1	unregistered dataset	pQTL	pQTL	2022	Integrated methylome and phenome study of the circulating proteome reveals markers pertinent to brain health.	10.1038/s41467-022-32319-8	35945220	https://doi.org/10.5281/zenodo.6801458	supplement	ok	9624	supplement:1	brain;plasma	this paper's own deposit, confirmed by HEAD									
Soskic B 2022	1	unregistered dataset	eQTL	eQTL	2022	Immune disease risk variants regulate gene expression dynamics during CD4&lt;sup&gt;+&lt;/sup&gt; T cell activation.	10.1038/s41588-022-01066-3	35618845	https://trynkalab.sanger.ac.uk	portal	ok	9641	portal:1	T cell;CD4;stimulated	this paper's own deposit, confirmed by HEAD									
Hillary RF 2022	1	unregistered dataset	meQTL	meQTL	2022	Identification of influential probe types in epigenetic predictions of human traits: implications for microarray design.	10.1186/s13148-022-01320-9	35948928	https://github.com/robertfhillary/Biological_Statistical_Properties_CpGs_Epigenetic_Predictions	portal	ok	9657	portal:1	blood	this paper's own deposit, confirmed by HEAD									
Clay SM 2022	1	unregistered dataset	eQTL	eQTL	2022	Fine-mapping studies distinguish genetic risks for childhood- and adult-onset asthma in the HLA region.	10.1186/s13073-022-01058-2	35606880	https://zenodo.org/record/3248979#.YTTfap5KjUJ	supplement	ok	9876	supplement:1	blood;airway;epithelial;lymphoblastoid;cell line	this paper's own deposit, confirmed by HEAD									
Moore SR 2021	1	unregistered dataset	eQTL	eQTL	2021	Sex differences in the genetic regulation of the blood transcriptome response to glucocorticoid receptor activation.	10.1038/s41398-021-01756-2	34903727	https://github.com/jArloth/sex-specific-GR-response-Analyses	portal	ok	10278	portal:1	blood;brain;cortex	this paper's own deposit, confirmed by HEAD									
Soliai MM 2021	1	unregistered dataset	eQTL;meQTL	eQTL;meQTL	2021	Multi-omics colocalization with genome-wide association studies reveals a context-specific genetic mechanism at a childhood onset asthma risk locus.	10.1186/s13073-021-00967-y	34629083	https://wwwdev.ebi.ac.uk/eva/?eva-study=PRJEB47290	portal	ok	10392	portal:1	airway;epithelial	this paper's own deposit, confirmed by HEAD									
Zhang Z 2021	1	unregistered dataset	eQTL	eQTL	2021	IRF7 and RNH1 are modifying factors of HIV-1 reservoirs: a genome-wide association analysis.	10.1186/s12916-021-02156-5	34781942	https://github.com/zhenhua-zhang/zzhang-etal-hiv-reservoir	portal	ok	10525	portal:1	blood;T cell;CD4	this paper's own deposit, confirmed by HEAD									
Robertson CC 2021	1	unregistered dataset	caQTL	caQTL	2021	Fine-mapping, trans-ancestral and genomic analyses identify causal variants, cells, genes and drug targets for type 1 diabetes.	10.1038/s41588-021-00880-5	34127860	https://t1d.hugeamp.org	portal	ok	10645	portal:1	T cell;CD4	this paper's own deposit, confirmed by HEAD									
Dall'Aglio L 2021	1	unregistered dataset	eQTL	eQTL	2021	Delineating the Genetic Component of Gene Expression in Major Depression.	10.1016/j.biopsych.2020.09.010	33279206	https://opain.github.io/MDD-TWAS	portal	ok	10709	portal:1	blood;brain;neuron;thyroid;pituitary	this paper's own deposit, confirmed by HEAD									
Li J 2020	1	unregistered dataset	eQTL	eQTL	2020	ncRNA-eQTL: a database to systematically evaluate the effects of SNPs on non-coding RNA expression across cancer types.	10.1093/nar/gkz711	31410488	http://ibi.hzau.edu.cn/ncRNA-eQTL	portal	ok	10879	portal:1	tumor;cancer	this paper's own deposit, confirmed by HEAD									
Liu L 2020	1	unregistered dataset	eQTL;pQTL	eQTL;pQTL	2020	Twelve New Genomic Loci Associated With Bone Mineral Density.	10.3389/fendo.2020.00243	32390946	http://www.gefos.org/?q=content/data-release-2018	portal	ok	10902	portal:1	bone	this paper's own deposit, confirmed by HEAD									
Lundtoft C 2020	1	unregistered dataset	pQTL	pQTL	2020	Function of multiple sclerosis-protective HLA class I alleles revealed by genome-wide protein-quantitative trait loci mapping of interferon signalling.	10.1371/journal.pgen.1009199	33104735	https://doi.org/10.17044/scilifelab.12901388	supplement	ok	11189	supplement:1	T cell;B cell	this paper's own deposit, confirmed by HEAD									
Thibord F 2020	1	unregistered dataset	eQTL	eQTL	2020	Bayesian network analysis of plasma microRNA sequencing data in patients with venous thrombosis.	10.1093/eurheartj/suaa008	32368197	https://zenodo.org/record/2560974	supplement	ok	11284	supplement:1	plasma	this paper's own deposit, confirmed by HEAD									
Bhattacharya A 2020	1	unregistered dataset	eQTL	eQTL	2020	A framework for transcriptome-wide association studies in breast cancer in diverse study populations.	10.1186/s13059-020-1942-6	32079541	https://gdac.broadinstitute.org/	portal	ok	11340	portal:1	breast;tumor;cancer	this paper's own deposit, confirmed by HEAD									
Knowles DA 2018	1	unregistered dataset	sQTL	sQTL	2018	Determining the genetic basis of anthracycline-cardiotoxicity by molecular response QTL mapping in induced cardiomyocytes.	10.7554/elife.33480	29737278	https://doi.org/10.5061/dryad.r5t8d04	supplement	ok	11953	supplement:1	heart;iPSC	this paper's own deposit, confirmed by HEAD									
Dusart P 2018	1	unregistered dataset	eQTL	eQTL	2018	A systems-approach reveals human nestin is an endothelial-enriched, angiogenesis-independent intermediate filament protein.	10.1038/s41598-018-32859-4	30279450	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-2836	supplement	ok	12011	supplement:1	endothelial;tumour	this paper's own deposit, confirmed by HEAD									
Garieri M 2017	1	unregistered dataset	eQTL	eQTL	2017	The effect of genetic variation on promoter usage and enhancer activity.	10.1038/s41467-017-01467-7	29116076	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-5835	supplement	ok	12042	supplement:1	lymphoblastoid;cell line	this paper's own deposit, confirmed by HEAD									
Loo LWM 2017	1	unregistered dataset	eQTL	eQTL	2017	In silico pathway analysis and tissue specific cis-eQTL for colorectal cancer GWAS risk variants.	10.1186/s12864-017-3750-2	28506205	https://www.ebi.ac.uk/gwas/home	portal	ok	12121	portal:1	colon;tumor;cancer	this paper's own deposit, confirmed by HEAD									
Di Narzo AF 2017	1	unregistered dataset	eQTL;pQTL	eQTL;pQTL	2017	High-Throughput Characterization of Blood Serum Proteomics of IBD Patients with Respect to Aging and Genetic Factors.	10.1371/journal.pgen.1006565	28129359	https://portal.genego.com	portal	ok	12143	portal:1	blood;macrophage;serum	this paper's own deposit, confirmed by HEAD									
Mirza N 2017	1	unregistered dataset	eQTL	eQTL	2017	Genetic regulation of gene expression in the epileptic human hippocampus.	10.1093/hmg/ddx061	28334860	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-3123	supplement	ok	12160	supplement:1	brain;hippocampus	this paper's own deposit, confirmed by HEAD									
Hannon E 2016	1	unregistered dataset	meQTL	meQTL	2016	Methylation QTLs in the developing brain and their enrichment in schizophrenia risk loci.	10.1038/nn.4182	26619357	http://epigenetics.essex.ac.uk/mQTL/	portal	ok	12314	portal:1	brain;cortex;cerebellum	this paper's own deposit, confirmed by HEAD									
Davenport EE 2016	1	unregistered dataset	eQTL	eQTL	2016	Genomic landscape of the individual host response and outcomes in sepsis: a prospective cohort study.	10.1016/s2213-2600(16)00046-1	26917434	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-4421	supplement	ok	12348	supplement:1	blood	this paper's own deposit, confirmed by HEAD									
Naranbhai V 2015	1	unregistered dataset	eQTL	eQTL	2015	Genomic modulators of gene expression in human neutrophils.	10.1038/ncomms8545	26151758	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-2232	supplement	ok	12544	supplement:1	blood;monocyte;neutrophil	this paper's own deposit, confirmed by HEAD									
Tang W 2014	1	unregistered dataset	eQTL	eQTL	2014	Large-scale genome-wide association studies and meta-analyses of longitudinal change in adult lung function.	10.1371/journal.pone.0100776	24983941	http://www.lung-genomics.org/	portal	ok	12660	portal:1	lung	this paper's own deposit, confirmed by HEAD									
Giambartolomei C 2014	1	unregistered dataset	eQTL	eQTL	2014	Bayesian test for colocalisation between pairs of genetic association studies using summary statistics.	10.1371/journal.pgen.1004383	24830394	http://cran.r-project.org/web/packages/coloc	portal	ok	12749	portal:1	liver	this paper's own deposit, confirmed by HEAD									
Westra HJ 2013	1	unregistered dataset	eQTL	eQTL	2013	Systematic identification of trans eQTLs as putative drivers of known disease associations.	10.1038/ng.2756	24013639	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-1708	supplement	ok	12788	supplement:1	blood	this paper's own deposit, confirmed by HEAD									
Min JL 2011	1	unregistered dataset	eQTL	eQTL	2011	The use of genome-wide eQTL associations in lymphoblastoid cell lines to identify novel genetic pathways involved in complex traits.	10.1371/journal.pone.0022070	21789213	http://cran.r-project.org/	portal	ok	12974	portal:1	liver;adipose;plasma;lymphoblastoid;LCL;cell line	this paper's own deposit, confirmed by HEAD									
Rotival M 2011	1	unregistered dataset	eQTL	eQTL	2011	Integrating genome-wide genetic variations and monocyte expression data reveals trans-regulated gene modules in humans.	10.1371/journal.pgen.1002367	22144904	http://genecanvas.ecgene.net/uploads/ForReview/	portal	ok	13000	portal:1	blood;monocyte;tumor;cancer	this paper's own deposit, confirmed by HEAD									
